Model,Pretrained,Top-1 Accuracy
RN50,yfcc15m,0.80
RN50,cc12m,1.18
RN50-quickgelu,yfcc15m,0.75
RN50-quickgelu,cc12m,1.08
RN101,yfcc15m,0.65
RN101-quickgelu,yfcc15m,0.62
ViT-B-32,laion400m_e31,5.34
ViT-B-32,laion400m_e32,5.41
ViT-B-32,laion2b_e16,5.66
ViT-B-32,laion2b_s34b_b79k,6.13
ViT-B-32,datacomp_m_s128m_b4k,2.79
ViT-B-32,commonpool_m_clip_s128m_b4k,2.50
ViT-B-32,commonpool_m_laion_s128m_b4k,2.41
ViT-B-32,commonpool_m_image_s128m_b4k,2.72
ViT-B-32,commonpool_m_text_s128m_b4k,2.46
ViT-B-32,commonpool_m_basic_s128m_b4k,2.23
ViT-B-32,commonpool_m_s128m_b4k,1.73
ViT-B-32,datacomp_s_s13m_b4k,0.61
ViT-B-32,commonpool_s_clip_s13m_b4k,0.84
ViT-B-32,commonpool_s_laion_s13m_b4k,0.66
ViT-B-32,commonpool_s_image_s13m_b4k,0.61
ViT-B-32,commonpool_s_text_s13m_b4k,0.77
ViT-B-32,commonpool_s_basic_s13m_b4k,0.75
ViT-B-32,commonpool_s_s13m_b4k,0.43
ViT-B-32-quickgelu,laion400m_e31,5.34
ViT-B-32-quickgelu,laion400m_e32,5.28
ViT-B-16,laion400m_e31,6.31
ViT-B-16,laion400m_e32,6.46
ViT-B-16,laion2b_s34b_b88k,7.18
ViT-B-16,datacomp_l_s1b_b8k,5.98
ViT-B-16,commonpool_l_clip_s1b_b8k,4.92
ViT-B-16,commonpool_l_laion_s1b_b8k,4.44
ViT-B-16,commonpool_l_image_s1b_b8k,4.75
ViT-B-16,commonpool_l_text_s1b_b8k,5.63
ViT-B-16,commonpool_l_basic_s1b_b8k,4.44
ViT-B-16,commonpool_l_s1b_b8k,3.83
ViT-B-16-plus-240,laion400m_e31,6.65
ViT-B-16-plus-240,laion400m_e32,6.69
ViT-L-14,laion400m_e31,8.83
ViT-L-14,laion400m_e32,8.72
ViT-L-14,laion2b_s32b_b82k,10.13
ViT-L-14,datacomp_xl_s13b_b90k,15.60
ViT-L-14,commonpool_xl_clip_s13b_b90k,11.58
ViT-L-14,commonpool_xl_laion_s13b_b90k,11.42
ViT-L-14,commonpool_xl_s13b_b90k,12.44
ViT-H-14,laion2b_s32b_b79k,13.01
ViT-g-14,laion2b_s12b_b42k,11.47
ViT-g-14,laion2b_s34b_b88k,14.03
ViT-bigG-14,laion2b_s39b_b160k,15.93
roberta-ViT-B-32,laion2b_s12b_b32k,5.21
xlm-roberta-base-ViT-B-32,laion5b_s13b_b90k,5.72
xlm-roberta-large-ViT-H-14,frozen_laion5b_s13b_b90k,12.95
convnext_base,laion400m_s13b_b51k,4.74
convnext_base_w,laion2b_s13b_b82k,6.09
convnext_base_w,laion2b_s13b_b82k_augreg,7.25
convnext_base_w,laion_aesthetic_s13b_b82k,5.57
convnext_base_w_320,laion_aesthetic_s13b_b82k,5.50
convnext_base_w_320,laion_aesthetic_s13b_b82k_augreg,7.14
convnext_large_d,laion2b_s26b_b102k_augreg,10.39
convnext_large_d_320,laion2b_s29b_b131k_ft,10.69
convnext_large_d_320,laion2b_s29b_b131k_ft_soup,11.20
convnext_xxlarge,laion2b_s34b_b82k_augreg,14.27
convnext_xxlarge,laion2b_s34b_b82k_augreg_rewind,14.23
convnext_xxlarge,laion2b_s34b_b82k_augreg_soup,14.68
coca_ViT-B-32,laion2b_s13b_b90k,5.83
coca_ViT-B-32,mscoco_finetuned_laion2b_s13b_b90k,0.20
coca_ViT-L-14,laion2b_s13b_b90k,10.79
coca_ViT-L-14,mscoco_finetuned_laion2b_s13b_b90k,9.28
